sentence,sentence_GROUP,subj_type,subj_PERS,subj_NUM,subj_GEN,subj_ANIM,verb_type,verb_PERS,verb_NUM,verb_finite,has_main,has_embed,has_objrel,has_relative_clause,has_subjrel,incongruence_poss_subj_count,incongruence_poss_obj_count,incongruence_subj_obj_count,incongruence_subj_embedsubj_count,rel_type,clause_type,bound_variable,mean_zipf,sentence_length,long_range_agreement_with_attractor
Mary plays.,sv,PropN,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,4.0,3,
Mary played.,sv,PropN,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,3,
Mary falls.,sv,PropN,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,4.0,3,
Mary fell.,sv,PropN,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,4.0,3,
Mary sees John.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees the woman.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
Mary sees the man.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees the women.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees the men.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
Mary sees the book.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees the books.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
Mary sees every woman.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
Mary sees every man.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees all women.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees all men.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
Mary sees me.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees you.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees him.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees her.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
Mary sees it.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees us.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,4,
Mary sees them.,svo,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees herself.,binding_reflexives,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,4,
Mary saw John.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw the woman.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
Mary saw the man.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw the women.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw the men.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
Mary saw the book.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw the books.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
Mary saw every woman.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,5,
Mary saw every man.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw all women.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,5,
Mary saw all men.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,5,
Mary saw me.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw you.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw him.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw her.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
Mary saw it.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw us.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,2.0,,,,,5.0,4,
Mary saw them.,svo,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,1.0,,,,,5.0,4,
Mary saw herself.,binding_reflexives,PropN,3.0,sg,f,True,Trans,,,True,False,False,False,False,False,,,0.0,,,,,5.0,4,
John plays.,sv,PropN,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,3,
John played.,sv,PropN,3.0,sg,m,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,3,
John falls.,sv,PropN,3.0,sg,m,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,5.0,3,
