sentence,prep_LEMMA,sentence_PP_attached,subj_NUM,subj_GEN,subj_ZIPF,obj_NUM,obj_GEN,obj_ZIPF,embedobj_NUM,embedobj_GEN,embedobj_ZIPF,intervener_NUM,intervener_GEN,verb_LEMMA
the woman sees the princess near the actress.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,f,4.0,False,False,sees
the woman sees the princess near the man.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,m,5.5,False,False,sees
the woman sees the princess near the prince.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princess near the actor.,near,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princess near the actresses.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,f,4.0,False,False,sees
the woman sees the princess near the men.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,m,5.5,False,False,sees
the woman sees the princess near the princes.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,sees
the woman sees the princess near the actors.,near,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,sees
the woman sees the princess behind the actress.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,f,4.0,False,False,sees
the woman sees the princess behind the man.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,m,5.5,False,False,sees
the woman sees the princess behind the prince.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princess behind the actor.,behind,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,sees
the woman sees the princess behind the actresses.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,f,4.0,False,False,sees
the woman sees the princess behind the men.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,m,5.5,False,False,sees
the woman sees the princess behind the princes.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,sees
the woman sees the princess behind the actors.,behind,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,sees
the woman sees the actress near the princess.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,f,4.5,False,False,sees
the woman sees the actress near the man.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,m,5.5,False,False,sees
the woman sees the actress near the prince.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actress near the actor.,near,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,sees
the woman sees the actress near the princesses.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,f,4.5,False,False,sees
the woman sees the actress near the men.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,m,5.5,False,False,sees
the woman sees the actress near the princes.,near,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,sees
