sentence,sentence_CLAUSE,sentence_RC_attached,subj_NUM,subj_GEN,subj_ZIPF,obj_NUM,obj_GEN,obj_ZIPF,embed_NUM,embed_GEN,embed_ZIPF,intervener_NUM,intervener_GEN,verb_ZIPF
the woman sees the princess who admires the actress.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,sg,f,4.0,False,False,4.5
the woman sees the princess who admires the man.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,sg,m,5.5,False,False,4.5
the woman sees the princess who admires the prince.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princess who admires the actor.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princess who admires the actresses.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,pl,f,4.0,False,False,4.5
the woman sees the princess who admires the men.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,pl,m,5.5,False,False,4.5
the woman sees the princess who admires the princes.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the princess who admires the actors.,subjwho,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the princess who the actress admires.,objwho,peripheral,sg,f,5.0,sg,f,4.5,sg,f,4.0,False,False,4.5
the woman sees the princess who the man admires.,objwho,peripheral,sg,f,5.0,sg,f,4.5,sg,m,5.5,False,False,4.5
the woman sees the princess who the prince admires.,objwho,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princess who the actor admires.,objwho,peripheral,sg,f,5.0,sg,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princess who the actresses admire.,objwho,peripheral,sg,f,5.0,sg,f,4.5,pl,f,4.0,False,False,4.5
the woman sees the princess who the men admire.,objwho,peripheral,sg,f,5.0,sg,f,4.5,pl,m,5.5,False,False,4.5
the woman sees the princess who the princes admire.,objwho,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the princess who the actors admire.,objwho,peripheral,sg,f,5.0,sg,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the actress who admires the princess.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,sg,f,4.5,False,False,4.5
the woman sees the actress who admires the man.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,sg,m,5.5,False,False,4.5
the woman sees the actress who admires the prince.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,4.5
the woman sees the actress who admires the actor.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,4.5
the woman sees the actress who admires the princesses.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,pl,f,4.5,False,False,4.5
the woman sees the actress who admires the men.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,pl,m,5.5,False,False,4.5
the woman sees the actress who admires the princes.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,4.5
the woman sees the actress who admires the actors.,subjwho,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,4.5
the woman sees the actress who the princess admires.,objwho,peripheral,sg,f,5.0,sg,f,4.0,sg,f,4.5,False,False,4.5
the woman sees the actress who the man admires.,objwho,peripheral,sg,f,5.0,sg,f,4.0,sg,m,5.5,False,False,4.5
the woman sees the actress who the prince admires.,objwho,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,4.5
the woman sees the actress who the actor admires.,objwho,peripheral,sg,f,5.0,sg,f,4.0,sg,m,4.5,False,False,4.5
the woman sees the actress who the princesses admire.,objwho,peripheral,sg,f,5.0,sg,f,4.0,pl,f,4.5,False,False,4.5
the woman sees the actress who the men admire.,objwho,peripheral,sg,f,5.0,sg,f,4.0,pl,m,5.5,False,False,4.5
the woman sees the actress who the princes admire.,objwho,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,4.5
the woman sees the actress who the actors admire.,objwho,peripheral,sg,f,5.0,sg,f,4.0,pl,m,4.5,False,False,4.5
the woman sees the man who admires the princess.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.5,False,False,4.5
the woman sees the man who admires the actress.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.0,False,False,4.5
the woman sees the man who admires the prince.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,4.5
the woman sees the man who admires the actor.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,4.5
the woman sees the man who admires the princesses.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.5,False,False,4.5
the woman sees the man who admires the actresses.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.0,False,False,4.5
the woman sees the man who admires the princes.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,4.5
the woman sees the man who admires the actors.,subjwho,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,4.5
the woman sees the man who the princess admires.,objwho,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.5,False,False,4.5
the woman sees the man who the actress admires.,objwho,peripheral,sg,f,5.0,sg,m,5.5,sg,f,4.0,False,False,4.5
the woman sees the man who the prince admires.,objwho,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,4.5
the woman sees the man who the actor admires.,objwho,peripheral,sg,f,5.0,sg,m,5.5,sg,m,4.5,False,False,4.5
the woman sees the man who the princesses admire.,objwho,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.5,False,False,4.5
the woman sees the man who the actresses admire.,objwho,peripheral,sg,f,5.0,sg,m,5.5,pl,f,4.0,False,False,4.5
the woman sees the man who the princes admire.,objwho,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,4.5
the woman sees the man who the actors admire.,objwho,peripheral,sg,f,5.0,sg,m,5.5,pl,m,4.5,False,False,4.5
the woman sees the prince who admires the princess.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,4.5
the woman sees the prince who admires the actress.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,4.5
the woman sees the prince who admires the man.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,4.5
the woman sees the prince who admires the actor.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,4.5
the woman sees the prince who admires the princesses.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,4.5
the woman sees the prince who admires the actresses.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,4.5
the woman sees the prince who admires the men.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,4.5
the woman sees the prince who admires the actors.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,4.5
the woman sees the prince who the princess admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,4.5
the woman sees the prince who the actress admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,4.5
the woman sees the prince who the man admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,4.5
the woman sees the prince who the actor admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,4.5
the woman sees the prince who the princesses admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,4.5
the woman sees the prince who the actresses admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,4.5
the woman sees the prince who the men admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,4.5
the woman sees the prince who the actors admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,4.5
the woman sees the actor who admires the princess.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,4.5
the woman sees the actor who admires the actress.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,4.5
the woman sees the actor who admires the man.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,4.5
the woman sees the actor who admires the prince.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,4.5
the woman sees the actor who admires the princesses.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,4.5
the woman sees the actor who admires the actresses.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,4.5
the woman sees the actor who admires the men.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,4.5
the woman sees the actor who admires the princes.,subjwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,4.5
the woman sees the actor who the princess admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.5,False,False,4.5
the woman sees the actor who the actress admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,f,4.0,False,False,4.5
the woman sees the actor who the man admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,5.5,False,False,4.5
the woman sees the actor who the prince admires.,objwho,peripheral,sg,f,5.0,sg,m,4.5,sg,m,4.5,False,False,4.5
the woman sees the actor who the princesses admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.5,False,False,4.5
the woman sees the actor who the actresses admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,f,4.0,False,False,4.5
the woman sees the actor who the men admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,5.5,False,False,4.5
the woman sees the actor who the princes admire.,objwho,peripheral,sg,f,5.0,sg,m,4.5,pl,m,4.5,False,False,4.5
the woman sees the princesses who admire the actress.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,sg,f,4.0,False,False,4.5
the woman sees the princesses who admire the man.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,sg,m,5.5,False,False,4.5
the woman sees the princesses who admire the prince.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princesses who admire the actor.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princesses who admire the actresses.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,pl,f,4.0,False,False,4.5
the woman sees the princesses who admire the men.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,pl,m,5.5,False,False,4.5
the woman sees the princesses who admire the princes.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the princesses who admire the actors.,subjwho,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the princesses who the actress admires.,objwho,peripheral,sg,f,5.0,pl,f,4.5,sg,f,4.0,False,False,4.5
the woman sees the princesses who the man admires.,objwho,peripheral,sg,f,5.0,pl,f,4.5,sg,m,5.5,False,False,4.5
the woman sees the princesses who the prince admires.,objwho,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princesses who the actor admires.,objwho,peripheral,sg,f,5.0,pl,f,4.5,sg,m,4.5,False,False,4.5
the woman sees the princesses who the actresses admire.,objwho,peripheral,sg,f,5.0,pl,f,4.5,pl,f,4.0,False,False,4.5
the woman sees the princesses who the men admire.,objwho,peripheral,sg,f,5.0,pl,f,4.5,pl,m,5.5,False,False,4.5
the woman sees the princesses who the princes admire.,objwho,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the princesses who the actors admire.,objwho,peripheral,sg,f,5.0,pl,f,4.5,pl,m,4.5,False,False,4.5
the woman sees the actresses who admire the princess.,subjwho,peripheral,sg,f,5.0,pl,f,4.0,sg,f,4.5,False,False,4.5
the woman sees the actresses who admire the man.,subjwho,peripheral,sg,f,5.0,pl,f,4.0,sg,m,5.5,False,False,4.5
